handle,page_id,year,total_posts,total_likes,total_shares,total_comments
starostove,3215946,2018,690,79383,11631,20073
starostove,3215946,2019,1000,150300,26779,38265
starostove,3215946,2020,1721,305467,45151,66875
stramkurs,4458640,2018,103,8641,1721,16742
stramkurs,4458640,2019,652,118692,21294,72450
stramkurs,4458640,2020,565,79098,19723,55547
stramkurs,4458640,2021,40,5189,1339,2872
stranakonzervativnipravice,848200,2012,134,6226,1834,1712
stranakonzervativnipravice,848200,2013,727,24545,9808,7155
stranakonzervativnipravice,848200,2014,486,193642,67708,4071
stranakonzervativnipravice,848200,2015,4223,5260774,2992870,85764
stranakonzervativnipravice,848200,2016,5325,5042694,2692896,73375
stranakonzervativnipravice,848200,2017,3162,960110,622597,18120
stranakonzervativnipravice,848200,2018,100,8494,3371,6027
stranakonzervativnipravice,848200,2019,350,20590,12707,9332
stranakonzervativnipravice,848200,2020,400,25986,16932,5512
stranakonzervativnipravice,848200,2021,105,16602,37234,6207
stranaprav,9966391,2012,123,2736,471,802
stranaprav,9966391,2013,228,6588,1742,2285
stranaprav,9966391,2014,128,2851,862,625
stranaprav,9966391,2015,221,7211,2993,1191
stranaprav,9966391,2016,371,9755,5870,1662
stranaprav,9966391,2017,533,14845,7433,2537
stranaprav,9966391,2018,133,3759,894,521
stranaprav,9966391,2019,42,503,163,96
stranaprav,9966391,2020,147,1269,403,186
stranasas,390546,2012,197,34394,8150,10073
stranasas,390546,2013,296,47470,8389,13803
stranasas,390546,2014,309,61385,8213,13087
stranasas,390546,2015,601,124257,38921,20775
stranasas,390546,2016,989,326998,70767,47968
stranasas,390546,2017,575,137376,37635,31761
stranasas,390546,2018,632,113882,42013,48366
stranasas,390546,2019,728,153232,28174,58814
stranasas,390546,2020,2603,951643,122843,246715
stranasns,2166002,2012,215,1393,357,575
stranasns,2166002,2013,347,12727,2935,1786
stranasns,2166002,2014,492,25308,6014,2981
stranasns,2166002,2015,371,64791,12564,8971
stranasns,2166002,2016,580,65126,11048,12389
stranasns,2166002,2017,671,55767,7253,16447
stranasns,2166002,2018,711,395536,40026,102780
stranasns,2166002,2019,799,427289,47618,143793
stranasns,2166002,2020,757,334605,63892,125463
stranaspolu,5258546,2016,123,8268,2486,1096
stranaspolu,5258546,2017,490,22158,18831,5143
stranaspolu,5258546,2018,424,82824,13618,19815
stranaspolu,5258546,2019,646,81781,10061,21796
stranaspolu,5258546,2020,1428,145598,19983,32272
stranazelenych,3215963,2012,480,8313,1654,2643
stranazelenych,3215963,2013,418,38983,11120,10895
stranazelenych,3215963,2014,477,30667,4355,8119
stranazelenych,3215963,2015,552,39775,7862,9054
stranazelenych,3215963,2016,591,37938,6244,9048
stranazelenych,3215963,2017,643,61693,10329,16060
stranazelenych,3215963,2018,388,27755,5665,7058
stranazelenych,3215963,2019,240,16108,3568,4278
stranazelenych,3215963,2020,765,68037,21296,12272
strankadesus,2994729,2014,36,74,20,6
strankadesus,2994729,2015,4,13,3,11
strankadesus,2994729,2016,44,221,21,35
strankadesus,2994729,2017,326,2250,494,1238
strankadesus,2994729,2018,480,13085,1868,8505
strankadesus,2994729,2019,538,11609,1745,1648
strankadesus,2994729,2020,660,20415,3296,9800
strankalds,3250349,2009,83,50,0,4
strankalds,3250349,2010,78,112,0,22
strankalds,3250349,2011,178,463,60,59
strankalds,3250349,2012,82,229,26,28
strankalds,3250349,2013,148,451,87,33
strankalds,3250349,2014,73,141,19,5
strankalds,3250349,2015,11,34,2,0
strankalds,3250349,2016,5,42,12,2
strankalds,3250349,2017,32,1206,81,202
strankalds,3250349,2018,20,782,54,160
strankalds,3250349,2019,4,35,6,0
strankalds,3250349,2020,3,72,6,0
strankalds,3250349,2021,1,3,0,0
strankalipa,16511669,2008,5,3,1,8
strankalipa,16511669,2009,52,118,0,86
strankalipa,16511669,2010,42,174,0,148
strankalipa,16511669,2011,7,30,0,8
strankalipa,16511669,2012,2,6,0,8
strankalms,3249583,2018,342,46184,2449,9498
strankalms,3249583,2019,590,61422,4302,9073
strankalms,3249583,2020,1379,385110,77399,68430
strankamladih.zelenievrope,12045718,2009,128,186,0,10
strankamladih.zelenievrope,12045718,2010,29,41,0,7
strankamladih.zelenievrope,12045718,2011,152,315,54,22
strankamladih.zelenievrope,12045718,2012,5,13,1,1
strankamladih.zelenievrope,12045718,2013,3,23,16,3
strankamladih.zelenievrope,12045718,2014,1,6,1,2
strankamladih.zelenievrope,12045718,2018,10,18,8,4
strankamladih.zelenievrope,12045718,2019,5,9,2,0
strankamladih.zelenievrope,12045718,2020,14,8,4,1
strankamladih.zelenievrope,12045718,2021,2,0,0,0
strankaradaisolidarnosti,8375460,2015,518,53633,2660,1705
strankaradaisolidarnosti,8375460,2016,450,41431,4499,4679
strankaradaisolidarnosti,8375460,2017,317,38915,2824,3545
strankaradaisolidarnosti,8375460,2018,325,8775,973,449
strankaradaisolidarnosti,8375460,2019,1170,32514,3712,1401
strankaradaisolidarnosti,8375460,2020,625,20463,2294,1065
strankasab,3249604,2014,176,1809,351,154
strankasab,3249604,2015,199,2936,403,232
strankasab,3249604,2016,312,7598,1455,689
strankasab,3249604,2017,304,14865,2857,2367
strankasab,3249604,2018,286,33564,5454,4991
strankasab,3249604,2019,464,39906,5287,6965
strankasab,3249604,2020,885,109884,23080,32937
strankasls,2994737,2012,204,503,39,123
strankasls,2994737,2013,423,1459,385,89
strankasls,2994737,2014,466,2338,323,124
strankasls,2994737,2015,328,17110,2791,2455
strankasls,2994737,2016,469,22405,2677,2782
strankasls,2994737,2017,454,17843,2034,3002
strankasls,2994737,2018,450,21638,3346,3420
strankasls,2994737,2019,766,22055,5435,3065
strankasls,2994737,2020,682,15689,5095,2955
strankasmc,449825,2014,98,767,124,28
strankasmc,449825,2015,1820,19967,3949,1443
strankasmc,449825,2016,1586,27986,3721,5133
strankasmc,449825,2017,1011,16011,2035,1512
strankasmc,449825,2018,555,30018,4330,4103
strankasmc,449825,2019,519,16261,2940,1481
strankasmc,449825,2020,502,15319,2755,8726
strankasmc,449825,2021,73,2168,395,2200
strankasns,5530278,2018,416,16049,7620,1591
strankasns,5530278,2019,244,5797,1632,643
strankasns,5530278,2020,81,2294,1149,312
suedtiroler.volkspartei,2471112,2012,168,893,77,141
suedtiroler.volkspartei,2471112,2013,203,2263,455,1253
suedtiroler.volkspartei,2471112,2014,92,1193,143,101
suedtiroler.volkspartei,2471112,2015,72,1057,114,34
suedtiroler.volkspartei,2471112,2016,108,1690,435,209
suedtiroler.volkspartei,2471112,2017,101,2692,406,87
suedtiroler.volkspartei,2471112,2018,355,21226,3028,4845
suedtiroler.volkspartei,2471112,2019,140,12507,1460,1242
suedtiroler.volkspartei,2471112,2020,648,45672,8044,9631
suomenkeskusta,425886,2012,234,6345,1564,786
suomenkeskusta,425886,2013,492,18332,1943,1633
suomenkeskusta,425886,2014,553,61270,3412,5208
suomenkeskusta,425886,2015,320,70769,3543,9079
suomenkeskusta,425886,2016,401,52920,3398,6519
suomenkeskusta,425886,2017,456,85546,7876,11689
suomenkeskusta,425886,2018,402,57415,5709,11422
suomenkeskusta,425886,2019,550,103392,6651,20757
suomenkeskusta,425886,2020,981,153231,7429,22554
suomenkommunistinenpuolue,6880330,2011,105,186,39,6
suomenkommunistinenpuolue,6880330,2012,104,532,327,36
suomenkommunistinenpuolue,6880330,2013,147,814,502,60
suomenkommunistinenpuolue,6880330,2014,281,1816,1016,155
suomenkommunistinenpuolue,6880330,2015,172,2680,1106,302
suomenkommunistinenpuolue,6880330,2016,158,3653,926,279
suomenkommunistinenpuolue,6880330,2017,268,4440,1253,358
suomenkommunistinenpuolue,6880330,2018,320,4994,1497,349
suomenkommunistinenpuolue,6880330,2019,340,7114,1501,424
suomenkommunistinenpuolue,6880330,2020,655,8243,1198,299
suomenkommunistinenpuolue,6880330,2021,71,683,91,48
sverigedemokraterna,352025,2014,7,16945,410,2757
sverigedemokraterna,352025,2015,319,658972,103057,116315
sverigedemokraterna,352025,2016,496,869090,197943,128321
sverigedemokraterna,352025,2017,725,1202470,162259,124718
sverigedemokraterna,352025,2018,1409,2542103,571173,387620
sverigedemokraterna,352025,2019,1345,2599562,585532,506865
sverigedemokraterna,352025,2020,2748,6474800,1165683,809802
svobodni,400999,2012,475,28497,9948,13534
svobodni,400999,2013,587,88233,25764,24861
svobodni,400999,2014,556,123365,29718,41808
svobodni,400999,2015,575,186611,58448,41807
svobodni,400999,2016,575,195861,50651,40445
svobodni,400999,2017,698,241587,72011,50664
svobodni,400999,2018,514,64913,18638,34205
svobodni,400999,2019,380,47737,11930,26344
svobodni,400999,2020,783,83631,30578,37006
svparti,1823378,2012,542,18101,2008,2603
svparti,1823378,2013,799,88262,10712,5745
svparti,1823378,2014,473,77290,7995,3052
svparti,1823378,2015,538,218376,26333,11277
svparti,1823378,2016,460,128187,19192,9841
svparti,1823378,2017,472,249996,30991,21469
svparti,1823378,2018,493,173926,19718,15251
svparti,1823378,2019,549,241726,28280,24257
svparti,1823378,2020,850,280726,26433,36713
svpch,428671,2012,67,836,97,138
svpch,428671,2013,375,6206,901,1185
svpch,428671,2014,487,37208,5523,6671
svpch,428671,2015,512,63363,13044,16346
svpch,428671,2016,437,40073,11459,19259
svpch,428671,2017,253,30608,7596,10144
svpch,428671,2018,397,40380,10554,13140
svpch,428671,2019,529,77972,21035,27174
svpch,428671,2020,787,332026,120476,101567
synaspismosgr,11959525,2017,6,4,0,3
synaspismosgr,11959525,2018,2,3,0,0
synaspismosgr,11959525,2019,2,1,0,2
synaspismosgr,11959525,2020,10,15,4,2
synaspismosgr,11959525,2021,1,3,0,0
syrizaofficial,925326,2012,453,29222,5445,2341
syrizaofficial,925326,2013,2610,20978,1497,617
syrizaofficial,925326,2014,462,105075,8103,3134
syrizaofficial,925326,2015,477,571214,65477,40072
syrizaofficial,925326,2016,1073,166459,19197,24068
syrizaofficial,925326,2017,1374,73952,11857,4124
syrizaofficial,925326,2018,1758,61839,13632,5830
syrizaofficial,925326,2019,1939,496556,65682,50032
syrizaofficial,925326,2020,2907,916993,143221,79674
tautaspartija,11959471,2011,51,29,0,9
tautininkai,8310040,2012,507,4510,1333,1124
tautininkai,8310040,2013,565,6545,1979,1155
tautininkai,8310040,2014,542,6770,2567,809
tautininkai,8310040,2015,506,11659,3181,1497
tautininkai,8310040,2016,543,11604,2839,2204
tautininkai,8310040,2017,401,7914,1998,1571
tautininkai,8310040,2018,502,18043,5043,2826
tautininkai,8310040,2019,369,17458,4386,1966
tautininkai,8310040,2020,428,19524,4060,3131
thegreenparty,137454,2012,116,2679,685,560
thegreenparty,137454,2013,398,31854,9344,7130
thegreenparty,137454,2014,666,419317,106841,46861
thegreenparty,137454,2015,1049,1363475,420037,168360
thegreenparty,137454,2016,815,497881,218984,66430
thegreenparty,137454,2017,868,740491,236282,104150
thegreenparty,137454,2018,417,194905,78782,37287
thegreenparty,137454,2019,772,385607,109610,80845
thegreenparty,137454,2020,957,317305,92435,80719
thelabourparty,553866,2012,422,2315,503,2866
thelabourparty,553866,2013,336,1897,340,1018
thelabourparty,553866,2014,267,2885,321,2025
thelabourparty,553866,2015,257,4795,1022,2487
thelabourparty,553866,2016,610,17833,4539,2191
thelabourparty,553866,2017,501,23298,7301,3573
thelabourparty,553866,2018,360,17176,5636,3620
thelabourparty,553866,2019,345,12045,4695,2171
thelabourparty,553866,2020,651,38013,14231,7127
thereformpartyuk,6205175,2019,1176,2799869,831762,858755
thereformpartyuk,6205175,2020,320,585598,215532,223843
thereformpartyuk,6205175,2021,278,251542,49968,86522
thesnp,138795,2012,843,46283,9953,21425
thesnp,138795,2013,1716,161447,35266,52567
thesnp,138795,2014,2528,2059973,379563,255024
thesnp,138795,2015,814,1207731,230170,200002
thesnp,138795,2016,1110,889157,338148,364414
thesnp,138795,2017,1408,964006,286253,388394
thesnp,138795,2018,1023,561826,338209,334288
thesnp,138795,2019,985,1118667,530352,562782
thesnp,138795,2020,919,1648002,635388,905935
tierschutzpartei,1559814,2012,149,722,511,140
tierschutzpartei,1559814,2013,1292,19941,17880,4135
tierschutzpartei,1559814,2014,923,59876,30373,7967
tierschutzpartei,1559814,2015,652,29456,15845,4174
tierschutzpartei,1559814,2016,687,30448,16925,4614
tierschutzpartei,1559814,2017,495,32322,16387,5745
tierschutzpartei,1559814,2018,354,20876,21543,5511
tierschutzpartei,1559814,2019,404,89384,79730,21657
tierschutzpartei,1559814,2020,409,90241,75199,30051
top09cz,414108,2012,95,6587,1218,3453
top09cz,414108,2013,342,80821,12580,25647
top09cz,414108,2014,339,101190,8993,29586
top09cz,414108,2015,940,261504,30038,88431
top09cz,414108,2016,1671,433412,49254,157765
top09cz,414108,2017,1340,597709,55172,268066
top09cz,414108,2018,980,249276,32189,80671
top09cz,414108,2019,1007,346629,44499,105665
top09cz,414108,2020,1825,1001025,160479,335410
topotami,398458,2014,1652,159325,15495,11562
topotami,398458,2015,1905,142156,19832,11565
topotami,398458,2016,2692,114259,15383,3236
topotami,398458,2017,2331,74208,7018,1920
topotami,398458,2018,1863,39439,10250,2183
topotami,398458,2019,908,42537,9985,2603
trakulenkai,12065174,2019,73,632,263,9
trakulenkai,12065174,2020,21,77,0,8
tslkd,6503717,2012,399,9060,883,599
tslkd,6503717,2013,534,7315,665,303
tslkd,6503717,2014,388,8645,711,517
tslkd,6503717,2015,140,34623,3384,1386
tslkd,6503717,2016,408,81217,6786,17178
tslkd,6503717,2017,274,38614,1538,9145
tslkd,6503717,2018,305,37468,4005,8665
tslkd,6503717,2019,252,56882,5001,20339
tslkd,6503717,2020,634,208030,17222,51650
tvarka.lt,6314407,2016,15,50,3,15
tvarka.lt,6314407,2017,151,1830,467,89
tvarka.lt,6314407,2019,49,1230,225,268
tvarka.lt,6314407,2020,10,132,26,14
twojruchpl,874971,2012,1345,63914,9842,21410
twojruchpl,874971,2013,966,58111,8787,15340
twojruchpl,874971,2014,654,92931,12358,24666
twojruchpl,874971,2015,952,307272,72257,45394
twojruchpl,874971,2016,285,45329,9410,9204
twojruchpl,874971,2017,125,7732,1737,2433
twojruchpl,874971,2018,53,2681,622,790
twojruchpl,874971,2019,1608,115118,156515,40354
twojruchpl,874971,2020,7315,1000841,1002245,259755
udcita,6636013,2016,97,1590,484,82
udcita,6636013,2017,597,6212,1225,293
udcita,6636013,2018,637,9336,1620,564
udcita,6636013,2019,642,13152,3114,774
udcita,6636013,2020,1019,19209,4971,799
udcita,6636013,2021,144,3794,981,504
udi,421815,2012,58,3250,642,256
udi,421815,2013,420,14369,4245,1512
udi,421815,2014,300,11827,3498,1096
udi,421815,2015,173,19535,7232,1962
udi,421815,2016,178,9149,3797,850
udi,421815,2017,253,7612,4026,2079
udi,421815,2018,510,9706,6791,957
udi,421815,2019,398,9241,7923,779
udi,421815,2020,827,23825,15100,2741
ukip,136425,2012,968,122896,18152,23958
ukip,136425,2013,1524,865575,123585,172840
ukip,136425,2014,1082,2058562,301786,392572
ukip,136425,2015,890,3934135,1022448,552829
ukip,136425,2016,571,2072861,613524,335947
ukip,136425,2017,493,421616,90480,158752
ukip,136425,2018,888,585717,273303,275522
ukip,136425,2019,2053,1352414,742878,763949
ukip,136425,2020,534,795016,362698,344312
ulsterunionistparty,107467,2012,466,927,262,153
ulsterunionistparty,107467,2013,251,1040,295,125
ulsterunionistparty,107467,2014,77,628,226,50
ulsterunionistparty,107467,2015,141,4187,1377,398
ulsterunionistparty,107467,2016,168,5508,2567,943
ulsterunionistparty,107467,2017,221,6768,2387,1608
ulsterunionistparty,107467,2018,102,3654,1133,404
ulsterunionistparty,107467,2019,231,8653,2358,1902
ulsterunionistparty,107467,2020,671,30032,8560,4324
uniapolitykirealnej,6639660,2011,239,864,71,273
uniapolitykirealnej,6639660,2012,499,1680,583,446
uniapolitykirealnej,6639660,2013,539,1140,427,311
uniapolitykirealnej,6639660,2014,434,2333,1077,730
uniapolitykirealnej,6639660,2015,436,3394,1787,635
uniapolitykirealnej,6639660,2016,496,1375,458,210
uniapolitykirealnej,6639660,2017,443,2017,554,324
uniapolitykirealnej,6639660,2018,448,1567,695,296
uniapolitykirealnej,6639660,2019,405,1781,885,415
uniapolitykirealnej,6639660,2020,389,1371,744,280
uniapolitykirealnej,6639660,2021,5,21,10,1
uniapracy.org,6960073,2015,9,17,3,0
uniapracy.org,6960073,2016,21,64,25,18
uniapracy.org,6960073,2017,19,69,30,5
uniapracy.org,6960073,2018,35,278,63,17
uniapracy.org,6960073,2019,72,1239,349,67
uniapracy.org,6960073,2020,253,5111,1350,487
unio.cat,303502,2012,499,1425,617,208
unio.cat,303502,2013,379,1402,451,233
unio.cat,303502,2014,130,1077,308,143
unio.cat,303502,2015,495,19169,4373,4930
unio.cat,303502,2016,99,3631,761,236
unio.cat,303502,2017,12,184,33,15
union.progreso.y.democracia,303496,2012,1314,86108,33424,10713
union.progreso.y.democracia,303496,2013,1484,81356,21267,8539
union.progreso.y.democracia,303496,2014,869,124590,30396,11826
union.progreso.y.democracia,303496,2015,686,159424,63495,14724
union.progreso.y.democracia,303496,2016,855,145491,62856,8035
union.progreso.y.democracia,303496,2017,738,91315,43507,9274
union.progreso.y.democracia,303496,2018,465,34116,17837,4153
union.progreso.y.democracia,303496,2019,315,18104,6154,2907
union.progreso.y.democracia,303496,2020,1172,46995,28031,11932
uniondelpueblonavarro,303505,2007,1,0,0,0
uniondelpueblonavarro,303505,2008,2,2,0,0
uniondelpueblonavarro,303505,2009,37,115,0,18
uniondelpueblonavarro,303505,2010,67,556,0,53
uniondelpueblonavarro,303505,2011,73,503,8,28
uniondelpueblonavarro,303505,2012,51,323,35,22
uniondelpueblonavarro,303505,2013,27,163,23,20
uniondelpueblonavarro,303505,2014,23,135,41,4
uniondelpueblonavarro,303505,2015,286,5644,2765,408
uniondelpueblonavarro,303505,2016,744,12603,5765,994
uniondelpueblonavarro,303505,2017,802,11401,9019,934
uniondelpueblonavarro,303505,2018,854,19515,12536,2177
uniondelpueblonavarro,303505,2019,1109,23140,12363,2626
uniondelpueblonavarro,303505,2020,1009,85478,69964,7312
uniondelpueblonavarro,303505,2021,568,19513,14552,1268
unitatpopular,472530,2011,149,958,204,37
unitatpopular,472530,2012,747,38337,19744,1604
unitatpopular,472530,2013,873,94049,40049,4017
unitatpopular,472530,2014,1062,165578,55462,5319
unitatpopular,472530,2015,630,234460,84562,24222
unitatpopular,472530,2016,537,172208,71072,19302
unitatpopular,472530,2017,586,270110,110943,40706
unitatpopular,472530,2018,307,85756,38887,12692
unitatpopular,472530,2019,230,50785,22993,5947
unitatpopular,472530,2020,252,49598,22016,8520
unitatpopular,472530,2021,92,16265,5612,2169
unitedleftalliance,11959531,2010,3,37,0,10
unitedleftalliance,11959531,2011,75,665,61,104
unitedleftalliance,11959531,2012,550,1805,794,259
unitedleftalliance,11959531,2013,166,342,170,29
unitedleftalliance,11959531,2014,124,231,88,20
unitedleftalliance,11959531,2015,53,128,40,10
unitedleftalliance,11959531,2016,7,11,0,3
upr.francoisasselineau,894946,2012,381,22668,7365,8100
upr.francoisasselineau,894946,2013,195,21409,7461,4686
upr.francoisasselineau,894946,2014,231,65248,22421,11743
upr.francoisasselineau,894946,2015,474,144933,59297,29051
upr.francoisasselineau,894946,2016,862,255359,167857,42487
upr.francoisasselineau,894946,2017,785,374693,165046,81547
upr.francoisasselineau,894946,2018,597,216054,125296,34935
upr.francoisasselineau,894946,2019,808,288650,134410,47486
upr.francoisasselineau,894946,2020,1117,386303,240749,102719
uzlietuvalietuvoje,16511553,2012,196,833,470,107
uzlietuvalietuvoje,16511553,2013,292,761,677,46
uzlietuvalietuvoje,16511553,2014,610,723,713,62
uzlietuvalietuvoje,16511553,2015,302,401,156,13
uzlietuvalietuvoje,16511553,2016,35,64,10,4
uzlietuvalietuvoje,16511553,2017,194,194,49,26
uzlietuvalietuvoje,16511553,2018,1433,1512,698,148
uzlietuvalietuvoje,16511553,2019,1229,1492,709,284
uzlietuvalietuvoje,16511553,2020,1401,562,180,198
uzlietuvalietuvoje,16511553,2021,852,454,29,100
vansterpartiet,129213,2012,184,9339,310,733
vansterpartiet,129213,2013,88,14163,1682,1205
vansterpartiet,129213,2014,365,404063,37347,21575
vansterpartiet,129213,2015,343,350365,45310,27458
vansterpartiet,129213,2016,393,317776,55879,28881
vansterpartiet,129213,2017,539,425773,78079,44693
vansterpartiet,129213,2018,665,594190,110002,77275
vansterpartiet,129213,2019,511,399623,60093,79716
vansterpartiet,129213,2020,541,842395,110633,125122
vasemmisto,639505,2012,355,7073,1493,918
vasemmisto,639505,2013,477,8174,1339,959
vasemmisto,639505,2014,470,30715,2760,1466
vasemmisto,639505,2015,559,80899,12321,4963
vasemmisto,639505,2016,894,125107,25721,9319
vasemmisto,639505,2017,686,193130,28536,15185
vasemmisto,639505,2018,657,184653,23500,18760
vasemmisto,639505,2019,734,269931,22742,25373
vasemmisto,639505,2020,865,338720,24772,48260
vazrazhdane.bg,7828510,2016,80,1312,808,82
vazrazhdane.bg,7828510,2017,472,100674,26386,9384
vazrazhdane.bg,7828510,2018,455,52050,21063,6775
vazrazhdane.bg,7828510,2019,1004,120633,47155,14573
vazrazhdane.bg,7828510,2020,1268,368741,101734,37361
vazrazhdane.bg,7828510,2021,1951,360326,68367,26914
veciverejne,11959502,2012,367,2158,551,2685
veciverejne,11959502,2013,446,3671,2034,2188
veciverejne,11959502,2014,365,3241,1156,1026
veciverejne,11959502,2015,121,994,315,289
veciverejne,11959502,2016,23,167,30,54
veciverejne,11959502,2017,49,237,99,86
veciverejne,11959502,2018,1,0,1,7
venstre.dk,390574,2012,275,13069,544,2024
venstre.dk,390574,2013,464,21058,917,3276
venstre.dk,390574,2014,400,40103,1599,7660
venstre.dk,390574,2015,502,308194,54458,49719
venstre.dk,390574,2016,479,112153,10909,25428
venstre.dk,390574,2017,515,118523,13738,38080
venstre.dk,390574,2018,424,86131,9671,57103
venstre.dk,390574,2019,477,392694,34575,99948
venstre.dk,390574,2020,586,510404,34838,143704
venstre.no,1141792,2009,221,1351,0,293
venstre.no,1141792,2010,157,2179,2,434
venstre.no,1141792,2011,284,11963,282,1510
venstre.no,1141792,2012,316,10583,1462,1409
venstre.no,1141792,2013,242,18121,2084,1785
venstre.no,1141792,2014,185,26838,2258,3193
venstre.no,1141792,2015,257,42568,6703,6280
venstre.no,1141792,2016,195,30281,4771,9791
venstre.no,1141792,2017,403,94467,13690,14250
venstre.no,1141792,2018,236,38887,3969,9281
venstre.no,1141792,2019,298,55001,6144,18910
venstre.no,1141792,2020,236,37777,3695,13341
venstre.no,1141792,2021,166,16766,2316,5555
vermelhaestrela,12065192,2012,381,2107,632,129
vermelhaestrela,12065192,2013,579,4961,1843,262
vermelhaestrela,12065192,2014,589,3329,992,136
vermelhaestrela,12065192,2015,295,1563,643,98
vermelhaestrela,12065192,2016,46,232,85,119
vermelhaestrela,12065192,2017,13,78,13,28
vermelhaestrela,12065192,2018,4,28,14,27
vermelhaestrela,12065192,2019,5,53,8,37
vienti-latvijai,2831699,2017,11,40,0,0
vihreat,639543,2012,656,17368,2914,1953
vihreat,639543,2013,680,18133,2489,1942
vihreat,639543,2014,737,55982,5514,3033
vihreat,639543,2015,1016,189362,15497,8997
vihreat,639543,2016,710,124872,13888,6729
vihreat,639543,2017,528,94325,8730,5789
vihreat,639543,2018,477,78341,10139,7365
vihreat,639543,2019,451,94413,7971,12775
vihreat,639543,2020,876,133878,7647,28220
vlbelang,326613,2012,1,105,10,9
vlbelang,326613,2013,995,17589,4470,6166
vlbelang,326613,2014,795,62694,10909,16637
vlbelang,326613,2015,749,214670,119449,43798
vlbelang,326613,2016,842,345311,218903,83254
vlbelang,326613,2017,641,333219,390981,156686
vlbelang,326613,2018,986,825750,810607,332498
vlbelang,326613,2019,932,1378428,562350,541664
vlbelang,326613,2020,1296,2791813,872295,762259
volkspartei,449876,2012,90,1400,117,249
volkspartei,449876,2013,76,5344,491,787
volkspartei,449876,2014,42,3530,89,717
volkspartei,449876,2015,33,4020,251,343
volkspartei,449876,2016,48,2085,92,158
volkspartei,449876,2017,881,191393,13826,22614
volkspartei,449876,2018,1058,107111,11579,13717
volkspartei,449876,2019,936,172866,20009,50817
volkspartei,449876,2020,1131,217238,34612,84401
voltluxembourg,7271566,2018,120,1298,115,54
voltluxembourg,7271566,2019,160,4519,620,221
voltluxembourg,7271566,2020,96,960,98,62
voltluxembourg,7271566,2021,37,346,39,12
voltnederland,6605035,2017,8,94,4,11
voltnederland,6605035,2018,301,9854,872,1193
voltnederland,6605035,2019,366,33530,5152,8119
voltnederland,6605035,2020,350,11637,2126,1735
voltnederland,6605035,2021,296,38310,4962,5279
volyazarazvitie,5563453,2016,60,3033,678,253
volyazarazvitie,5563453,2017,237,13160,1237,978
volyazarazvitie,5563453,2018,176,4622,719,222
volyazarazvitie,5563453,2019,537,20848,2497,966
volyazarazvitie,5563453,2020,599,14274,1358,856
volyazarazvitie,5563453,2021,50,1219,181,321
vooruit.nu,334313,2016,4,204,0,19
vooruit.nu,334313,2018,382,117925,43213,55447
vooruit.nu,334313,2019,603,305374,67951,101905
vooruit.nu,334313,2020,997,426056,53156,124180
vooruit.nu,334313,2021,480,121493,11384,55411
voxespana,303482,2014,440,70809,15026,5814
voxespana,303482,2015,2475,305860,109026,24390
voxespana,303482,2016,1508,349071,160385,36469
voxespana,303482,2017,1887,760868,534244,102483
voxespana,303482,2018,2046,2084003,1201578,300261
voxespana,303482,2019,1153,4676272,2429404,875694
voxespana,303482,2020,1364,7935262,4363163,1758322
voxespana,303482,2021,627,3651048,1276467,606883
vvd,397413,2010,65,744,0,337
vvd,397413,2011,22,463,25,99
vvd,397413,2012,57,5889,471,2113
vvd,397413,2013,20,6870,436,6370
vvd,397413,2014,31,8165,1662,5832
vvd,397413,2015,146,59006,7576,36422
vvd,397413,2016,254,102562,18551,92878
vvd,397413,2017,201,280357,32833,201412
vvd,397413,2018,142,71507,13957,75323
vvd,397413,2019,151,85753,13553,155512
vvd,397413,2020,425,215929,24298,220253
vvd,397413,2021,270,131728,9553,198863
wiosnabiedronia,6378306,2019,876,337359,44308,63210
wiosnabiedronia,6378306,2020,604,136159,21539,17343
workerspartyireland,3193301,2013,76,219,56,23
workerspartyireland,3193301,2014,39,234,41,10
workerspartyireland,3193301,2015,234,2641,345,75
workerspartyireland,3193301,2016,548,6795,1618,130
workerspartyireland,3193301,2017,598,8563,2282,448
workerspartyireland,3193301,2018,577,21149,11498,1941
workerspartyireland,3193301,2019,337,21767,10957,2940
workerspartyireland,3193301,2020,876,36858,12144,3365
www.engdem.org,1505598,2009,547,1674,17,1830
www.engdem.org,1505598,2010,3974,17827,28,15146
www.engdem.org,1505598,2011,3286,16914,783,12611
www.engdem.org,1505598,2012,2423,20147,7287,9726
www.engdem.org,1505598,2013,1818,27822,18975,6811
www.engdem.org,1505598,2014,2048,49556,26479,7835
www.engdem.org,1505598,2015,1188,17430,10969,3815
www.engdem.org,1505598,2016,465,5284,3788,1236
www.engdem.org,1505598,2017,134,1403,879,605
www.engdem.org,1505598,2018,118,834,691,299
www.engdem.org,1505598,2019,476,17784,15078,7758
www.engdem.org,1505598,2020,92,3105,1756,1498
www.engdem.org,1505598,2021,15,827,243,233
www.vmro.bg,5558494,2013,550,37420,9157,2155
www.vmro.bg,5558494,2014,542,33824,6449,1509
www.vmro.bg,5558494,2015,551,70063,10566,2436
www.vmro.bg,5558494,2016,579,74618,11028,3205
www.vmro.bg,5558494,2017,501,34630,6550,2510
www.vmro.bg,5558494,2018,788,19318,5075,1263
www.vmro.bg,5558494,2019,2054,126836,20862,9807
www.vmro.bg,5558494,2020,2729,77913,13739,7488
zalounzemniekusavieniba,8089075,2017,271,4127,1298,1201
zalounzemniekusavieniba,8089075,2018,439,4854,1462,427
