country_right,Year,EB_no,EBQ1_1,EBQ1_2,EBQ1_3,EBQ1_4,EBQ1_5,EBQ1_6,EBQ1_7,EBQ2_1,EBQ2_2,EBQ2_3,EBQ2_4
POL,2010,74.2,15.4,9.5,7.6,4.2,8.6,37.1,17.6,14.4,61.1,19.8,4.7
POL,2011,76.3,17.5,12.1,6.3,3.1,5.9,37,18,19.4,58.4,18,4.3
POL,2012,78.1,17.3,13.8,8.5,3.3,4.9,47.6,4.5,12.8,60.6,22.9,3.7
POL,2013,80.1,20.9,11,7.7,3.5,4.9,43,9,17.8,56.6,22.3,3.3
POL,2014,82.3,24.3,13.9,7.8,4.7,7.8,30.1,11.5,19.9,60.1,15.7,4.3
POL,2015,84.3,28.2,11.9,8.1,3,3.8,41.5,3.6,23,55,16.2,5.8
POL,2016,86.2,27.7,14.1,7.2,3.2,4,42.9,0.9,25.2,59.7,12,3.1
POL,2017,88.3,37.6,14.1,6.4,1.6,3.3,34.6,2.3,27.9,56.6,11.5,4.06
POL,2018,90.3,40.75,12.95,6.27,1.59,2.8,34.4,1.24,22.12,60.05,14.49,3.34
POL,2019,92.3,40.8,13,6.3,1.6,2.8,34.4,1.3,22.1,60,14.4,3.32
POL,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,2010,74.2,12.1,6.6,6.5,2.8,4.2,52.3,15.5,8.4,55.8,23.5,12.3
PRT,2011,76.3,11.2,9.4,4,1.7,4,50.7,19.1,13.8,49.5,24.7,11.9
PRT,2012,78.1,18.4,7.6,3.9,1.3,4,50.4,14.3,12.9,48.6,21.9,16.6
PRT,2013,80.1,24.8,11.1,3.3,1,2.1,39.4,18.3,15.2,52.3,15.1,17.4
PRT,2014,82.3,27.6,11.9,5.9,1.7,3.4,36.4,13.2,20.3,51.3,14.7,13.7
PRT,2015,84.3,35.4,14.1,3.3,1.4,2.2,31.9,11.8,16.9,50.1,19.7,13.3
PRT,2016,86.2,41.7,11.5,4.6,0.7,2.8,34.7,3.9,15.3,58.2,14.9,11.6
PRT,2017,88.3,47.5,9.2,4.3,1.1,3.7,30,4.2,13.1,44.4,26.8,15.6
PRT,2018,90.3,52.16,10.96,1.92,0.4,1.06,28.48,5.01,11.42,54.7,22.77,11.11
PRT,2019,92.3,52.2,10.9,1.9,0.4,1.1,28.5,5,11.4,54.7,22.7,11.2
PRT,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,2010,74.2,11.8,7.9,4.2,2.9,6.1,50.3,16.8,17.7,52.9,19.7,9.7
ROU,2011,76.3,13.2,5.9,2.9,3.3,7,51.6,16.1,21.3,46.6,19.3,12.8
ROU,2012,78.1,17.9,6.3,4.2,2.3,4.6,53.5,11.2,14,56.1,21.8,8.2
ROU,2013,80.1,21.8,7.7,2.9,2.9,4.4,44.9,15.4,26.6,52.4,11.8,9.2
ROU,2014,82.3,28.4,8.7,4.7,1.6,4.7,37,14.9,24.1,52.6,14.1,9.2
ROU,2015,84.3,30.2,8.6,4.9,2.1,2.1,44.9,7.2,24.8,51,14,10.2
ROU,2016,86.2,35.6,11.1,4.2,2.2,2.4,44,0.5,24.8,47.3,20.2,7.7
ROU,2017,88.3,36,11,5,1,2,43,2,22.8,44.2,17,16
ROU,2018,90.3,41.56,10.02,3.62,0.92,2.58,40.63,0.68,22.14,50.18,23.5,4.18
ROU,2019,92.3,41.4,9.7,3.9,1,2.4,41.1,0.6,19.5,50.9,25.3,4.41
ROU,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,2010,74.2,35,9.6,6.1,3.7,10.7,31,3.8,32.9,44,18.8,4.3
SWE,2011,76.3,35.2,12.5,6.6,2.8,11.7,28.5,2.4,25.2,44.8,24.9,5.1
SWE,2012,78.1,42.8,9.8,5.4,4,10.3,26.3,1.4,28,46.8,19.8,5.5
SWE,2013,80.1,48.3,10.7,6.9,2.8,8.2,21.8,1.3,30.7,44.9,19.6,4.7
SWE,2014,82.3,52.9,10.3,4.5,2.2,5.3,21.7,3,31.5,45.1,17,6.4
SWE,2015,84.3,56,7.4,5.4,2.1,6.8,19,3.3,31.5,40.5,18,10
SWE,2016,86.2,56.8,9.5,6.8,1.1,4.2,20.6,1.1,31.3,42.8,17.2,8.7
SWE,2017,88.3,60,8,5,3,6,17,1,25.8,44.1,17.1,13.1
SWE,2018,90.3,59.87,9.04,5.01,2.22,4.69,18.44,0.73,27.7,39.67,21.84,10.79
SWE,2019,92.3,60,9,5,2,5,18,1,27.7,39.6,21.8,10.7
SWE,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,2010,74.2,20.7,8.4,5.1,1.9,8.9,38.2,16.8,21,49.8,17.6,11.7
SVN,2011,76.3,25.5,9.8,4.2,0.8,6.2,40.5,12.9,25.5,56.6,13.3,4.6
SVN,2012,78.1,27.3,8.9,4.5,1.6,6.6,43.9,7.2,28.6,51.9,15.4,4
SVN,2013,80.1,30.7,10.4,3.1,1.6,7.9,37.9,8.3,26.4,45,20.4,8.2
SVN,2014,82.3,30.4,10.8,4.1,1.1,11.7,33.3,8.6,26.4,52.2,13.6,7.8
SVN,2015,84.3,31.9,8.2,4.8,1.3,5.9,40,8.1,32,49,11.9,7.1
SVN,2016,86.2,38.1,7.7,3.7,0.7,7.7,37,5.1,28.1,54.7,10.6,6.6
SVN,2017,88.3,39.4,10.1,4.1,1,6.7,33.7,5.1,26.9,48.7,15.9,8.38
SVN,2018,90.3,44.19,8.06,2.95,1.52,8.07,30.27,4.94,30.14,47.31,15.43,7.12
SVN,2019,92.3,44.2,8,3,1.5,8,30.3,5,30.2,47.3,15.5,7.13
SVN,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,2010,74.2,19.9,9.5,7.3,3.6,11.7,43.5,4.5,14.4,56,21,8.6
SVK,2011,76.3,24.8,10.6,7.3,2.5,9.5,37.8,7.4,21.3,56.7,16.8,5.2
SVK,2012,78.1,26.8,10.6,6.7,2.5,8.8,37.7,6.8,18.9,58.5,18.1,4.5
SVK,2013,80.1,32.6,11.3,4.2,1.8,6.8,35.9,7.3,17,56.6,19.5,7
SVK,2014,82.3,28,12.6,5,2.3,7.2,33.3,11.5,20.6,55.1,17.8,6.6
SVK,2015,84.3,32.1,12.4,6.4,1.8,4.5,38.1,4.8,27.6,52.9,12.5,7
SVK,2016,86.2,38.5,12.1,5.8,2.3,3.2,34.7,3.3,25,54.9,14,6.1
SVK,2017,88.3,40.1,13,5.7,1.3,3.5,34.6,1.9,30.2,51.2,11.7,6.86
SVK,2018,90.3,41.99,10.75,4.76,2.46,5.08,33.09,1.87,22.86,60.21,14.32,2.61
SVK,2019,92.3,41.7,10.7,4.8,2.5,5.1,33.2,1.9,23,60,14.4,2.66
SVK,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
