country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments
EST,EK,533,Estonian Centre Party,457439,eestikeskerakond,Estonia,1995,9999,26.1,2007,,TRUE,TRUE,TRUE,TRUE,keskerakondlane,,,
EST,EER,1040,Estonian Greens,4497321,rohelised,Estonia,2006,9999,7.1,2007,,TRUE,TRUE,TRUE,TRUE,estoniangreens,,,
EST,ELE,7341,Richness of Life,4497329,elurikkuseerakond,Estonia,2018,9999,1.2,2019,,TRUE,TRUE,TRUE,FALSE,,,,
EST,SDE-M,1150,Social Democratic Party -- Moderates,460610,sotsdem,Estonia,1992,9999,17.1,2011,,TRUE,TRUE,TRUE,TRUE,sotsdem,,,
EST,IRL,685,Union of Pro Patria and Res Publica,7518118,isamaaerakond,Estonia,2006,9999,20.5,2011,,TRUE,TRUE,TRUE,TRUE,Erakond,,,
FIN,KESK,901,Agrarian Union / Centre Party,425886,SuomenKeskusta,Finland,1927,9999,27.3,1930,,TRUE,TRUE,TRUE,TRUE,keskusta,,,
FIN,KD,703,Christian Democrats / League,639762,kristillisdemokraatit,Finland,1958,9999,5.3,2003,,TRUE,TRUE,TRUE,TRUE,KDpuolue,,,
FIN,SP/P,1689,Finns Party / True Finns,639776,perussuomalaiset,Finland,1995,9999,19.1,2011,,TRUE,TRUE,TRUE,TRUE,persut,,,
FIN,VIHR,479,Green League,639543,vihreat,Finland,1983,9999,8.5,2015,,TRUE,TRUE,TRUE,TRUE,vihreat,,,
FIN,SDP,1303,Social Democratic Party of Finland,639580,sosialidemokraatit,Finland,1899,9999,44.8,1917,,TRUE,TRUE,TRUE,TRUE,Demarit,,,
FIN,RKP/SFP,1229,Swedish People's Party of Finland,360487,sfprkp,Finland,1927,9999,12.4,1922,,TRUE,TRUE,TRUE,TRUE,sfprkp,,,
FRA,EELV,5650,Europe Ecology - The Greens,640524,eelv.fr,France,2010,9999,5.5,2012,,TRUE,TRUE,TRUE,TRUE,EELV,,,
FRA,DLF,3207,France Arise,1991663,dlf.officiel,France,2008,9999,1.2,2017,,TRUE,TRUE,TRUE,TRUE,DLF_Officiel,,,
FRA,PCF,1251,French Communist Party,519716,Particommuniste,France,1920,9999,28.6,1946,,TRUE,TRUE,TRUE,TRUE,PCF,,,
FRA,CNIP,1629,National Centre of Independents and Peasants,12065161,CNIPGrandEst,France,1949,9999,20,1958,,TRUE,TRUE,TRUE,TRUE,CNIP_FR,,,
FRA,FN / RN,433,National Front / National Rally,390433,RassemblementNational,France,1972,9999,14.9,1997,,TRUE,TRUE,TRUE,TRUE,RNational_off,,,
FRA,NPA,6684,New Anticapitalist Party,640530,npa2009,France,2009,9999,4.9,2009,,TRUE,TRUE,TRUE,TRUE,NPA_officiel,,,
FRA,UPR,7344,Popular Republican Union,894946,upr.francoisasselineau,France,2007,9999,1.2,2019,,TRUE,TRUE,TRUE,TRUE,UPR_Officiel,,,
FRA,PRG,1783,Radical Party of the Left,8616271,PartiRadicalGauche,France,1973,2017,2.2,1978,,TRUE,TRUE,TRUE,TRUE,PartiRadicalG,,,
FRA,PS,1478,Socialist Party,326608,partisocialiste,France,1969,9999,36,1981,,TRUE,TRUE,TRUE,TRUE,SocialistParty,,,
FRA,LR,8168,The Republicans,374898,les.Republicains.FR,France,2015,9999,22.2,2017,,TRUE,TRUE,TRUE,TRUE,lesRepublicains,,,
FRA,LaREM,5857,The Republic Onwards!,951153,EnMarche,France,2016,9999,28.2,2017,,TRUE,TRUE,TRUE,TRUE,enmarchefr,,,
FRA,FI,5858,Unbowed France,1904453,lafranceinsoumise,France,2017,9999,11,2017,,TRUE,TRUE,TRUE,TRUE,FranceInsoumise,,,
FRA,UDI,3229,Union of Democrats and Independents,421815,udi,France,2012,9999,3,2017,,TRUE,TRUE,TRUE,TRUE,UDI_off,,,
FRA,LO,617,Workers' Struggle,640529,LutteOuvriere1,France,1939,9999,1.7,1978,,TRUE,TRUE,TRUE,TRUE,LutteOuvriere,,,
DEU,B90/Gr,1816,Alliance 90 / Greens,339052,B90DieGruenen,Germany,1993,9999,10.7,2009,,TRUE,TRUE,TRUE,TRUE,Die_Gruenen,,,
DEU,AfD,1976,Alternative for Germany,339088,alternativefuerde,Germany,2013,9999,12.6,2017,,TRUE,TRUE,TRUE,TRUE,AfD,,,
DEU,Tier,749,Animal Welfare Party,1559814,Tierschutzpartei,Germany,1993,9999,1.3,2004,,TRUE,TRUE,TRUE,TRUE,Tierschutzparte,,,
DEU,CSU,1731,Christian Social Union,339070,CSU,Germany,1949,9999,10.6,1976,,TRUE,TRUE,TRUE,TRUE,CSU,,,
DEU,FDP,573,Free Democratic Party,6762083,FDP,Germany,1948,9999,14.6,2009,,TRUE,TRUE,TRUE,TRUE,fdp,,,
DEU,FW,1090,Free Voters,1559750,freie.waehler.bundesvereinigung,Germany,2009,9999,1.7,2009,,TRUE,TRUE,TRUE,TRUE,FREIEWAEHLER_BV,,,
