country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
ESP,CUP,8357,Popular Unity Candidacy,156000000000000,unitatpopular,Spain,1991,9999,1,2019,NA,TRUE,TRUE,TRUE,TRUE,cupnacional,NA,NA,NA,cupnacional,91796121
ESP,Vox,3218,Voice,467000000000000,voxespana,Spain,2013,9999,10,2019,NA,TRUE,TRUE,TRUE,TRUE,vox_es,NA,NA,NA,vox_es,2201623465
CHE,BDP,1415,Conservative Democratic Party of Switzerland,129000000000000,bdpschweiz,Switzerland,2008,9999,5.4,2011,NA,TRUE,TRUE,TRUE,TRUE,BDPSchweiz,NA,NA,NA,bdpschweiz,226841200
CHE,FDP,1231,FDP.The Liberals,12065190,fdp.dieliberalen,Switzerland,2009,9999,16.4,2015,NA,TRUE,TRUE,TRUE,TRUE,FDP_Liberalen,NA,NA,NA,fdp_liberalen,39250641
CHE,EDU,631,Federal Democratic Union of Switzerland,216000000000,eduschweiz,Switzerland,1979,9999,1.3,1995,NA,TRUE,TRUE,TRUE,TRUE,EDUSchweiz,NA,NA,NA,eduschweiz,297862387
CHE,GPL,1759,Green Liberal Party,2749463,grunliberale,Switzerland,2007,9999,5.4,2011,NA,TRUE,TRUE,TRUE,TRUE,grunliberale,NA,NA,NA,grunliberale,22799864
CHE,PdA,669,Swiss Party of Labour,189e13,partisuissedutravail,Switzerland,1944,9999,5.1,1947,NA,TRUE,TRUE,TRUE,TRUE,pst_pop,NA,NA,NA,pst_pop,1249625742004060200
GBR,ED,1675,English Democrats,207000000000,www.engdem.org,UK,2002,9999,1.8,2009,NA,TRUE,TRUE,TRUE,TRUE,EnglishDemocrat,NA,NA,NA,englishdemocrat,25371310
DEU,Z,1798,Centre Party,NA,zentrumspartei,Germany,1870,9999,13.6,1920,NA,FALSE,TRUE,TRUE,TRUE,zentrum1870,NA,NA,NA,zentrum1870,803251339425890300
ITA,SEL,7031,Left Ecology Freedom,NA,SinistraEcologiaELibertaEuropa,Italy,2009,2016,3.2,2013,NA,FALSE,TRUE,TRUE,TRUE,SI_sinistra,NA,NA,NA,si_sinistra,28528873
GBR,SLP,1277,Socialist Labour Party,NA,socialistlabourpartyGB,UK,1996,9999,1.1,2009,x,FALSE,TRUE,TRUE,TRUE,slp_gb,"This is listed as the offical Twitter on their website but looks like a local page? There really arent any other socialist labour pages on Twitter, so I think this is offical but reads local from teh name",NA,NA,slp_gb,435161217
DNK,Enh,1527,Red-Green Alliance,676323,enhedslisten,Denmark,1989,9999,7.6,2015,NA,TRUE,TRUE,TRUE,TRUE,enhedslisten,NA,NA,NA,enhedslisten,111554559
FIN,VAS,1044,Left Alliance,639505,vasemmisto,Finland,1990,9999,11.2,1995,NA,TRUE,TRUE,TRUE,TRUE,vasemmisto,NA,NA,NA,vasemmisto,25494061
PRT,PCTP/MRPP,857,Communist Party of the Portuguese Workers / Reorganizative Movement of the Party of the Proletariat,12065192,vermelhaestrela,Portugal,1994,9999,1.2,2011,NA,TRUE,TRUE,TRUE,TRUE,pctpmrpp,NA,NA,NA,pctpmrpp,529780751
