partyfacts_id,parlgov_id,country,handle,facebook_id,year,total_posts,total_likes,total_shares,total_comments,twitter_handle,author_id,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt,mean_vote_share,mean_seats,seats_total,cabinet_party_max,prime_minister_max,left_right,populist,farright,farleft,poppa_populism_mean,gps_populism,...29,gdp_growth,pop_growth,pop,net_migr,unemp_nat,unemp_ilo,refugee,tax_gdp,income_l20,trade_gdp,gdp,internet_adoption,socialmedia,refugee_change,everyday_social_networks_imputed,election_year,keep,left_right_s,poppa_populism_s,gps_populism_s,gdp_s,pop_s,everyday_social_networks_imputed_s,gdp_growth_s,net_migr_s,refugee_s,refugee_change_s,seats_per,twitter_active,facebook_active,duration,years_observed,populist_cat
1443,5,ROU,partidulconservator,12065215,2013,42,100,94,11,NA,NA,-1,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,17,0.642981501,-0.371323063,19983693,-13890,7.096,7.1,1747,17.76146056,5,81.40162118,8287.249657,49.7645,21.8,484,21.8,0,1,-0.10377426449369422,NA,NA,-0.4806038192587497,0.41857342910318124,-0.4344852525515293,-0.459044325371289,0.5761745856835506,-0.42146561920392284,0.29423987902860976,3.1553398058252426,0,1,2,5,np
1443,5,ROU,partidulconservator,12065215,2014,39,72,76,4,NA,NA,-1,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,18,4.511416855,-0.374575498,19908979,-20445,6.802,6.8,2171,17.93983163,4.9,83.37870793,8661.122035,54.08,28.4,424,28.4,0,1,-0.10377426449369422,NA,NA,-0.3264066767664865,0.29453354545113986,-0.11323024655861237,0.13354974470012865,0.4142028555393829,-0.2364936467968601,0.21674034987269852,3.1553398058252426,0,1,3,5,np
1443,5,ROU,partidulconservator,12065215,2015,149,664,268,19,NA,NA,-1,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,19,3.646553566,-0.470052228,19815616,-49612,6.812,6.81,2581,18.918309,5.1,83.52116278,8976.954489,55.76315563,30.2,410,30.2,0,1,-0.10377426449369422,NA,NA,-0.19614708879254134,0.13953266666797282,-0.025615244924180405,0.001063917851834689,-0.3065033920754057,-0.057629239516445684,0.19865712640298588,3.1553398058252426,0,1,4,5,np
1443,5,ROU,partidulconservator,12065215,2016,1,3,2,0,NA,NA,-1,NA,NA,NA,NA,0,13,412,1,0,4.7622,0,0,0,NA,NA,20,3.449295219,-0.573660845,19702267,-64002,5.901,5.9,2880,17.1121252,5.6,85.89397864,9286.596151,59.50395129,35.6,299,35.6,0,1,-0.10377426449369422,NA,NA,-0.06844078502020115,-0.04864888929309526,0.2372297599791155,-0.029153499787940608,-0.6620751993636702,0.07281090140268581,0.05528299746455005,3.1553398058252426,0,1,5,5,np
764,16,SVN,strankasls,2994737,2012,204,503,39,123,strankasls,135589298,847,54,145,427,200,6.83,6,90,1,0,6.6953,0,0,0,NA,NA,304,-2.84370502,0.210024306,2057159,219,8.883,8.84,169,17.86731691,9.4,142.3844308,20157.00525,68.34997453,27.3,35,27.3,0,2,0.29290518325759024,NA,NA,-0.49149914470770717,-0.3212344605234011,-0.42106076027355654,-0.6614471927436263,-0.6204860608663272,-0.5084846987103541,-0.07458917963200613,6.666666666666667,1,1,1,9,np
764,16,SVN,strankasls,2994737,2013,423,1459,385,89,strankasls,135589298,1950,327,528,855,357,6.83,6,90,1,0,6.6953,0,0,0,NA,NA,305,-1.163520875,0.135726229,2059953,210,10.14,10.1,202,17.89986941,9.2,143.756354,19922.47429,72.6756,30.7,33,30.7,0,2,0.29290518325759024,NA,NA,-0.5720039207135034,-0.23263177619157904,-0.21214385628419594,-0.3803684902752606,-0.6216772208435576,-0.4441935299078955,-0.08504116658680953,6.666666666666667,1,1,2,9,np
764,16,SVN,strankasls,2994737,2014,466,2338,323,124,strankasls,135589298,2855,1079,1946,654,1564,3.95,0,90,1,0,6.6953,0,0,0,NA,NA,306,2.667134059,0.098351922,2061980,-225,9.719,9.67,251,18.16881795,9.4,145.5497502,20453.83339,71.59,30.4,49,30.4,1,2,0.29290518325759024,NA,NA,-0.38961032404660034,-0.16835201916201448,-0.23057770075384545,0.2604633623862006,-0.6792499530763552,-0.34873088532242674,-0.001425270948382286,0,1,1,3,9,np
764,16,SVN,strankasls,2994737,2015,328,17110,2791,2455,strankasls,135589298,537,844,667,123,519,3.95,0,90,1,0,6.6953,0,0,0,NA,NA,307,2.133258028,0.075190689,2063531,7934,8.997,8.96,284,18.49388308,9.6,146.2958567,20890.16643,73.09865997,31.9,33,31.9,0,2,0.29290518325759024,NA,NA,-0.23983524254295494,-0.11916706447387701,-0.1384084784055981,0.17115101973673408,0.4006027418371993,-0.2844397165199682,-0.08504116658680953,0,1,1,4,9,np
764,16,SVN,strankasls,2994737,2016,469,22405,2677,2782,strankasls,135589298,583,1018,612,139,307,3.95,0,90,1,0,6.6953,0,0,0,NA,NA,308,3.116346601,0.073197207,2065042,7684,8.018,8,454,18.60665782,9.7,146.6577745,21541.17642,75.49850426,38.1,170,38.1,0,2,0.29290518325759024,NA,NA,-0.01637044530473325,-0.07125058057073343,0.24255764063382446,0.33561231484692994,0.36751496469191325,0.04675721367451532,0.6309199398172238,0,1,1,5,9,np
764,16,SVN,strankasls,2994737,2017,454,17843,2034,3002,strankasls,135589298,535,1188,730,149,206,3.95,0,90,1,0,6.6953,0,0,0,NA,NA,309,4.747106183,0.065159039,2066388,7460,6.574,6.56,611,18.33812242,10,157.2744387,22563.75894,78.88542636,39.4,157,39.4,0,2,0.29290518325759024,NA,NA,0.3346398295009579,-0.028566538655689568,0.32243763333563863,0.6084227616723369,0.337868316369737,0.35262731979530304,0.5629820246110017,0,1,1,6,9,np
